parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2012,0-30%,owner,87960.3427625926,749455719.6698614
Southern Co.,Alabama Power Co.,2.0,2012,0-30%,renter,120506.1740495803,978593742.1996222
Southern Co.,Alabama Power Co.,2.0,2012,100%+,owner,498060.444813648,48118864432.47215
Southern Co.,Alabama Power Co.,2.0,2012,100%+,renter,106428.9938052576,7540474256.726366
Southern Co.,Alabama Power Co.,2.0,2012,30-60%,owner,103609.39795229088,2019889622.4822142
Southern Co.,Alabama Power Co.,2.0,2012,30-60%,renter,78945.01321959293,1505038300.0211933
Southern Co.,Alabama Power Co.,2.0,2012,60-80%,owner,82883.79164575392,2509994463.021821
Southern Co.,Alabama Power Co.,2.0,2012,60-80%,renter,45598.910728181945,1352491910.8086956
Southern Co.,Alabama Power Co.,2.0,2012,80-100%,owner,80085.68913737599,3148415084.8039436
Southern Co.,Alabama Power Co.,2.0,2012,80-100%,renter,33651.241885725954,1287365558.8286567
Southern Co.,Alabama Power Co.,2.0,2011,0-30%,owner,87554.98311620943,740489843.3234524
Southern Co.,Alabama Power Co.,2.0,2011,0-30%,renter,119950.82900924128,970022207.8438398
Southern Co.,Alabama Power Co.,2.0,2011,100%+,owner,495765.16492448235,47679636388.10007
Southern Co.,Alabama Power Co.,2.0,2011,100%+,renter,105938.52255493225,7485050366.281325
Southern Co.,Alabama Power Co.,2.0,2011,30-60%,owner,103131.92063016095,1995600143.1410692
Southern Co.,Alabama Power Co.,2.0,2011,30-60%,renter,78581.20014614027,1490803492.1095257
Southern Co.,Alabama Power Co.,2.0,2011,60-80%,owner,82501.82696238406,2482712913.1855073
Southern Co.,Alabama Power Co.,2.0,2011,60-80%,renter,45388.77104764293,1340347066.9200606
Southern Co.,Alabama Power Co.,2.0,2011,80-100%,owner,79716.61933148972,3115095966.225207
Southern Co.,Alabama Power Co.,2.0,2011,80-100%,renter,33496.16227731687,1276326196.7591057
Southern Co.,Alabama Power Co.,2.0,2010,0-30%,owner,87566.4957849882,732873116.7583412
Southern Co.,Alabama Power Co.,2.0,2010,0-30%,renter,119966.60143149494,956628020.6485771
Southern Co.,Alabama Power Co.,2.0,2010,100%+,owner,495830.35344868375,47012572854.334045
Southern Co.,Alabama Power Co.,2.0,2010,100%+,renter,105952.45248875988,7361021356.3499155
Southern Co.,Alabama Power Co.,2.0,2010,30-60%,owner,103145.48152184837,1968260460.291018
Southern Co.,Alabama Power Co.,2.0,2010,30-60%,renter,78591.53284563174,1465518244.6470015
Southern Co.,Alabama Power Co.,2.0,2010,60-80%,owner,82512.67518796364,2449139062.0709825
Southern Co.,Alabama Power Co.,2.0,2010,60-80%,renter,45394.739250351086,1318050001.9968014
Southern Co.,Alabama Power Co.,2.0,2010,80-100%,owner,79727.10132808048,3072047973.3395867
Southern Co.,Alabama Power Co.,2.0,2010,80-100%,renter,33500.56671219805,1255660494.3800123
Southern Co.,Alabama Power Co.,2.0,2009,0-30%,owner,87268.87197730014,728799535.1074276
Southern Co.,Alabama Power Co.,2.0,2009,0-30%,renter,119558.85510804827,953143431.5769907
Southern Co.,Alabama Power Co.,2.0,2009,100%+,owner,494145.10937858804,46808281176.844025
Southern Co.,Alabama Power Co.,2.0,2009,100%+,renter,105592.33790314232,7345677535.098988
Southern Co.,Alabama Power Co.,2.0,2009,30-60%,owner,102794.90735896617,1960081172.5104506
Southern Co.,Alabama Power Co.,2.0,2009,30-60%,renter,78324.41342914861,1463679456.4579241
Southern Co.,Alabama Power Co.,2.0,2009,60-80%,owner,82232.2284674249,2439196208.5230365
Southern Co.,Alabama Power Co.,2.0,2009,60-80%,renter,45240.45015811802,1315378881.7477798
Southern Co.,Alabama Power Co.,2.0,2009,80-100%,owner,79456.12230510508,3057996069.8870616
Southern Co.,Alabama Power Co.,2.0,2009,80-100%,renter,33386.703914158556,1252973687.3850396
Southern Co.,Alabama Power Co.,2.0,2008,0-30%,owner,86149.15833978032,750082319.1638247
Southern Co.,Alabama Power Co.,2.0,2008,0-30%,renter,118024.84100293231,982437420.1495407
Southern Co.,Alabama Power Co.,2.0,2008,100%+,owner,487804.92180255457,48504887054.97576
Southern Co.,Alabama Power Co.,2.0,2008,100%+,renter,104237.52285753816,7598344250.929155
Southern Co.,Alabama Power Co.,2.0,2008,30-60%,owner,101475.98507855259,2032485901.8594556
Southern Co.,Alabama Power Co.,2.0,2008,30-60%,renter,77319.46273045996,1517304344.6628618
Southern Co.,Alabama Power Co.,2.0,2008,60-80%,owner,81177.1380832777,2523409188.5302715
Southern Co.,Alabama Power Co.,2.0,2008,60-80%,renter,44659.9871836137,1362086547.8710856
Southern Co.,Alabama Power Co.,2.0,2008,80-100%,owner,78436.65108113176,3165090964.6288695
Southern Co.,Alabama Power Co.,2.0,2008,80-100%,renter,32958.33184015898,1296239917.9377863
Southern Co.,Alabama Power Co.,2.0,2007,0-30%,owner,85456.0530397847,720953746.7873994
Southern Co.,Alabama Power Co.,2.0,2007,0-30%,renter,117075.2827668828,940254134.0101595
Southern Co.,Alabama Power Co.,2.0,2007,100%+,owner,483880.3312066512,46255007460.21816
Southern Co.,Alabama Power Co.,2.0,2007,100%+,renter,103398.88924876832,7243815632.399251
Southern Co.,Alabama Power Co.,2.0,2007,30-60%,owner,100659.5691734451,1941238667.9509346
Southern Co.,Alabama Power Co.,2.0,2007,30-60%,renter,76697.39595181624,1445437574.2941656
Southern Co.,Alabama Power Co.,2.0,2007,60-80%,owner,80524.0347247738,2413627584.827043
Southern Co.,Alabama Power Co.,2.0,2007,60-80%,renter,44300.679276128256,1299111861.9780354
Southern Co.,Alabama Power Co.,2.0,2007,80-100%,owner,77805.59606415969,3025102676.994002
Southern Co.,Alabama Power Co.,2.0,2007,80-100%,renter,32693.168547589932,1236717935.4996212
Southern Co.,Alabama Power Co.,2.0,2006,0-30%,owner,84539.72988402305,679796960.8943237
Southern Co.,Alabama Power Co.,2.0,2006,0-30%,renter,115819.91478824828,887715429.8121555
